Asset,Vol_Regime,Annualised_Mean_Next_Day_Return
EEM,High,0.09351119646543449
EEM,Low,0.049451041751247385
EWJ,High,0.048182002510824926
EWJ,Low,0.08183713387709136
FXB,High,-0.017500707502258985
FXB,Low,-0.008704503652374513
FXE,High,-0.016693383123017897
FXE,Low,-0.008440586002789074
FXY,High,-0.002314718295092853
FXY,Low,-0.04140703232084663
GLD,High,0.11390617708596017
GLD,Low,0.08960595219732526
IEF,High,0.032652036463411006
IEF,Low,0.027433507457485923
IWM,High,0.11258998606341374
IWM,Low,0.11830399205688202
QQQ,High,0.21700008552915426
QQQ,Low,0.14562057906687392
SLV,High,0.23388735517723644
SLV,Low,0.030312356839534454
SPY,High,0.15761425963797326
SPY,Low,0.10553693957067484
TLT,High,0.08483232743068207
TLT,Low,-0.00409711475998457
USO,High,-0.19825408040137538
USO,Low,0.06559659800714013
UUP,High,0.037299756746651515
UUP,Low,0.011913025732823577
VGK,High,0.1023077252917319
VGK,Low,0.05488659879791436
