Asset,Regime,Mean_Daily,Std_Daily,N,Mean_Annualised,t_stat,p_value
EEM,High,-0.0006169312791195726,0.022552657186567987,1942.0,-0.1554666823381323,,
EEM,Low,0.0005481062058070621,0.01181055607584908,2524.0,0.13812276386337963,,
EEM,Low - High,0.0011650374849266347,,,0.29358944620151195,2.5390712027526803,0.011114720009497356
EWJ,High,-0.00013017723431048766,0.01556095684836945,2189.0,-0.03280466304624289,,
EWJ,Low,0.0003405637650819046,0.009774711059084274,2277.0,0.08582206880063996,,
EWJ,Low - High,0.0004707409993923923,,,0.11862673184688285,1.3722974191417951,0.16997086874894074
FXB,High,0.00013860954674310266,0.0070634967141495,2059.0,0.034929605779261866,,
FXB,Low,8.372763267695335e-05,0.005132111001536296,2407.0,0.021099363434592247,,
FXB,Low - High,-5.48819140661493e-05,,,-0.013830242344669624,-0.3020327184262331,0.762627121275187
FXE,High,0.0001646893861175446,0.006647169694049906,2005.0,0.04150172530162124,,
FXE,Low,7.193015301907397e-05,0.004881731048893826,2461.0,0.01812639856080664,,
FXE,Low - High,-9.275923309847063e-05,,,-0.0233753267408146,-0.5263110014589156,0.598672140428206
FXY,High,0.00024793309001003804,0.007245572732722874,2030.0,0.062479138682529585,,
FXY,Low,9.490479054662576e-05,0.005511425185584224,2436.0,0.023916007217749693,,
FXY,Low - High,-0.00015302829946341228,,,-0.038563131464779896,-0.877410339283778,0.3802637992979043
GLD,High,4.1552271189265e-05,0.012953660068814387,2119.0,0.01047117233969478,,
GLD,Low,0.0002264318699447724,0.008761082707549845,2347.0,0.057060831226082645,,
GLD,Low - High,0.0001848795987555074,,,0.046589658886387865,0.6069137147082514,0.5439081759876456
IEF,High,8.303524385193321e-05,0.004984137922138825,2074.0,0.02092488145068717,,
IEF,Low,7.610444932047414e-05,0.0038149201025958522,2392.0,0.019178321228759482,,
IEF,Low - High,-6.9307945314590744e-06,,,-0.0017465602219276868,-0.05296967643299121,0.957756068482814
IWM,High,-0.00020411610223508767,0.019711733864584958,2024.0,-0.051437257763242095,,
IWM,Low,3.2807056610207346e-05,0.01135174954903778,2442.0,0.00826737826577225,,
IWM,Low - High,0.000236923158845295,,,0.059704636029014345,0.5515721225540916,0.5812415405329563
QQQ,High,-0.00021535707501529265,0.017268176819874834,2194.0,-0.05426998290385375,,
QQQ,Low,0.0006666668450273153,0.010140385920620353,2272.0,0.16800004494688345,,
QQQ,Low - High,0.0008820239200426079,,,0.22227002785073718,2.375769715479512,0.01751238842399129
SLV,High,9.093553225366647e-05,0.02291038655585082,2167.0,0.02291575412792395,,
SLV,Low,-0.00039459549309391094,0.01583941471849814,2299.0,-0.09943806425966556,,
SLV,Low - High,-0.00048553102534757743,,,-0.1223538183875895,-0.8212742645523881,0.4114900632992008
SPY,High,2.3551661913797033e-05,0.016332408656040406,2058.0,0.005935018802276852,,
SPY,Low,0.0003177745405871024,0.007986978076435907,2408.0,0.08007918422794981,,
SPY,Low - High,0.0002942228786733054,,,0.07414416542567297,0.924440619700731,0.35525695433473803
TLT,High,0.0002773648639674175,0.011155346163283248,2110.0,0.06989594571978922,,
TLT,Low,8.438275374833125e-06,0.008214183349588879,2356.0,0.0021264453944579475,,
TLT,Low - High,-0.0002689265885925844,,,-0.06776950032533127,-0.90684134683843,0.3644907015026333
USO,High,0.0009132432697285892,0.028839892741882568,2051.0,0.23013730397160448,,
USO,Low,-2.8625212290756468e-05,0.017585252400497985,2415.0,-0.00721355349727063,,
USO,Low - High,-0.0009418684820193457,,,-0.2373508574688751,-1.2348136774442005,0.21689985583134774
UUP,High,3.8101355370019605e-05,0.005726989057108798,2042.0,0.009601541553244941,,
UUP,Low,8.180157833084826e-05,0.0044221492103225036,2424.0,0.020613997739373762,,
UUP,Low - High,4.370022296082865e-05,,,0.011012456186128821,0.27932855151795155,0.7799926970028144
VGK,High,-0.00023393570074337218,0.019112857356991354,1980.0,-0.05895179658732979,,
VGK,Low,0.0004220222807927456,0.010577461500043857,2486.0,0.1063496147597719,,
VGK,Low - High,0.0006559579815361178,,,0.1653014113471017,1.5970298145634336,0.11025906147555459
