Strategy,,BH,BH,BH,TSMOM,TSMOM,TSMOM,VC_FLAT,VC_FLAT,VC_FLAT,VC_CONTRARIAN,VC_CONTRARIAN,VC_CONTRARIAN
Metric,,CumRet,MaxDD,Obs,CumRet,MaxDD,Obs,CumRet,MaxDD,Obs,CumRet,MaxDD,Obs
Window,Cost_bps,,,,,,,,,,,,
COVID (2020),0,-0.03068543330778828,-0.2971656047711404,94.0,-0.14774453914734653,-0.2763891130167998,94.0,0.011342247283566032,-0.0001637145470282375,94.0,0.11746426117485242,-0.21123789187287234,94.0
COVID (2020),2,-0.03068543330778828,-0.2971656047711404,94.0,-0.14810259064483244,-0.2765414924001366,94.0,0.011178122635892018,-0.00016579288043117035,94.0,0.1166178660345687,-0.21131811601661665,94.0
COVID (2020),10,-0.03068543330778828,-0.2971656047711404,94.0,-0.14953358014699702,-0.2771508126535651,94.0,0.010521826003090373,-0.0002072411605322788,94.0,0.11323781849501446,-0.21163898686265326,94.0
GFC (2008-2009),0,-0.18565556885304624,-0.4632652512747022,209.0,-0.05820498559845744,-0.48895110599977554,209.0,0.28912756093054925,-0.07354212504150681,209.0,0.36962233038417436,-0.44738452852583765,209.0
GFC (2008-2009),2,-0.18565556885304624,-0.4632652512747022,209.0,-0.06150825210774857,-0.4906592388582236,209.0,0.2885336892792416,-0.07354466426101947,209.0,0.3638035290989807,-0.4473881282904859,209.0
GFC (2008-2009),10,-0.18565556885304624,-0.4632652512747022,209.0,-0.07460958944491192,-0.4974368780203089,209.0,0.28616069797526333,-0.07355482110435985,209.0,0.34076820805497854,-0.4474025271732456,209.0
Inflation Bear (2022),0,-0.24285717348909486,-0.3120650081093391,251.0,-0.05285433392852612,-0.20104034976817586,251.0,-0.000783480583875229,-0.055182629372642955,251.0,0.008635042547565863,-0.18286069206048494,251.0
Inflation Bear (2022),2,-0.24285717348909486,-0.3120650081093391,251.0,-0.05439941947435545,-0.20218735787948583,251.0,-0.0023221524562965223,-0.05608190490322551,251.0,0.004684657958727412,-0.18501822902121912,251.0
Inflation Bear (2022),10,-0.24285717348909486,-0.3120650081093391,251.0,-0.06055576766762605,-0.20675984557867044,251.0,-0.00845398915894302,-0.059732442728661184,251.0,-0.01096644377452316,-0.19359340648838508,251.0
