Asset,Vol_Regime,Momentum_Signal,Mean,Std,Skew,Kurtosis
EEM,High,-1.0,0.19325141512251265,0.02592197106069521,0.7631852910135131,16.86842869455652
EEM,High,1.0,-0.0870604584405059,0.01460698671106594,-0.5587726809623073,5.57489349759434
EEM,Low,-1.0,-0.1765042796616891,0.012610917176747363,-0.2626577556161297,4.414234425200762
EEM,Low,1.0,0.12524769454267687,0.011532686457528661,-0.10906172479708995,5.791973204219487
EWJ,High,-1.0,0.07230008601322245,0.018120110322264262,0.5357699085640448,13.065887660279303
EWJ,High,1.0,0.0174771526936501,0.011513650892818614,-0.7479198820974531,6.632163376469957
EWJ,Low,-1.0,-0.008741519095298808,0.011347890425624977,0.009342982232443656,4.074122653292924
EWJ,Low,1.0,0.10857793074436697,0.009261035248524025,-0.3097583906693922,5.743305556865877
FXB,High,-1.0,-0.0415527386630683,0.007494753166367368,-0.5678597983695782,8.206428217744758
FXB,High,1.0,0.023609277337071667,0.006262479398657135,-3.315858061843831,45.18621883274821
FXB,Low,-1.0,-0.039634203358192815,0.005465774864729556,0.05830334891972137,3.9273742736232378
FXB,Low,1.0,0.009931567075831586,0.004921503315348744,-0.024799233389135332,4.172477129396618
FXE,High,-1.0,-0.04902571108882415,0.007165832651045611,0.27907346256571974,5.3371808066864155
FXE,High,1.0,0.030515782863864853,0.005811294521506467,-0.12842440953286707,4.0269708338096475
FXE,Low,-1.0,-0.028451413842910816,0.004852447217645016,0.0645878453550051,6.272671183303027
FXE,Low,1.0,0.009084140512683397,0.0049088011504569715,-0.015288855573495408,4.3889348085331985
FXY,High,-1.0,-0.06123441790715715,0.006681310163912323,0.29515357657331476,5.818443249210317
FXY,High,1.0,0.06387749654105468,0.007834707691568151,0.3462063386255873,7.404221547342963
FXY,Low,-1.0,-0.05691234775251096,0.005281069822495315,0.3418502024536278,6.155837285369706
FXY,Low,1.0,-0.020524150843518375,0.005805172877521759,-0.15911478638035204,7.227504649355925
GLD,High,-1.0,0.1392495394265161,0.01434912796015543,0.14629051916418676,12.022382735690163
GLD,High,1.0,0.09893228357093199,0.012045410760536227,-0.27125910102263157,5.7246431416766805
GLD,Low,-1.0,0.0380395412945749,0.00842863208414811,-0.003113423998634174,5.060502168734371
GLD,Low,1.0,0.12815597196378942,0.008994370977698295,-0.4472348143376342,5.345578759727202
IEF,High,-1.0,0.013161320073803702,0.004881757207105412,0.29316774694639286,6.28376262551542
IEF,High,1.0,0.048312403371234616,0.005064397152840737,0.11121385410141993,5.168615675662354
IEF,Low,-1.0,0.0117398367771187,0.004167262935974531,0.0625942732131771,5.105695468533929
IEF,Low,1.0,0.03594309936089588,0.003609187448206665,0.09339482954848072,4.271596961069097
IWM,High,-1.0,0.154270976535851,0.02362588359463905,-0.3148157396019804,6.51638859317174
IWM,High,1.0,0.06528118253140687,0.014000038082849227,-0.5743194158000915,5.921809119336933
IWM,Low,-1.0,0.2959354745351212,0.01302876447514467,-0.03663257140694577,3.271880090152302
IWM,Low,1.0,0.07773825108851151,0.010917724231736613,-0.09873915576245383,4.483757130541834
QQQ,High,-1.0,0.31357562178188597,0.022025635090644598,0.09988283107640451,7.343425296607651
QQQ,High,1.0,0.14338547998389933,0.012431738304123896,-0.47010515903319927,5.516205032270773
QQQ,Low,-1.0,-0.12970955734536135,0.014861502672544019,-0.23799409865133203,3.4324655577276735
QQQ,Low,1.0,0.1716151391520368,0.009580291073876243,-0.5315679618093327,5.328755515793953
SLV,High,-1.0,0.2208577098907537,0.023395190980255068,-0.49095411443262343,10.72307223783068
SLV,High,1.0,0.24580050259023078,0.022431825311761185,-0.3731544269709678,6.647265131900204
SLV,Low,-1.0,0.1421812288403531,0.014933386776819019,-0.7658388627798944,9.256855102744737
SLV,Low,1.0,-0.06356800054355256,0.016566159777197054,-0.6541471258438757,8.130070639021223
SPY,High,-1.0,0.16140428006197685,0.02145582673886943,0.1317074368615128,9.189531439787274
SPY,High,1.0,0.1542550023052405,0.009730067675429988,-0.8836296997548938,6.848802584994239
SPY,Low,-1.0,0.17028409684800508,0.010498115917507477,-0.005492376550600617,3.1887026962300613
SPY,Low,1.0,0.10030602022151888,0.0077461758498278575,-0.5131077712366519,5.303121433751839
TLT,High,-1.0,0.017184168707733878,0.01034125512692448,0.02976380149580762,3.42134874566353
TLT,High,1.0,0.1368301158204084,0.011740179249710441,0.17568477338569174,7.38775146137105
TLT,Low,-1.0,-0.00696896754936624,0.00859193707564778,-0.23837397959917717,4.1267123524782985
TLT,Low,1.0,-0.001780251926833099,0.007899575358893095,0.08083112248331437,3.771589109870423
USO,High,-1.0,-0.334844027953118,0.03192646936787164,-0.6969928239380172,11.10161238200269
USO,High,1.0,0.04424390496788897,0.022334473387214858,-0.25477689680635107,6.821751601754924
