Asset,Vol_Regime,Persistence_Prob,Avg_Duration_Days
EEM,High,0.942842430484037,17.495495495495497
EEM,Low,0.9564183835182251,22.74774774774775
EWJ,High,0.9456372772955688,18.394957983193276
EWJ,Low,0.9481774264382961,19.142857142857142
FXB,High,0.9446333171442448,18.06140350877193
FXB,Low,0.9530535936850851,21.12280701754386
FXE,High,0.9416458852867831,17.136752136752136
FXE,Low,0.9528646891507517,21.042735042735043
FXY,High,0.9472906403940887,18.97196261682243
FXY,Low,0.9564860426929392,22.77570093457944
GLD,High,0.9443133553563001,17.81512605042017
GLD,Low,0.9497230507030251,19.889830508474578
IEF,High,0.9469623915139826,18.854545454545455
IEF,Low,0.9544314381270903,21.754545454545454
IWM,High,0.9491106719367589,19.650485436893202
IWM,Low,0.9582309582309583,23.718446601941746
QQQ,High,0.9567000911577028,23.094736842105263
QQQ,Low,0.9586267605633803,23.926315789473684
SLV,High,0.9547761882787263,21.8989898989899
SLV,Low,0.9573727707698999,23.459183673469386
SPY,High,0.9630709426627794,27.07894736842105
SPY,Low,0.9688538205980066,31.69736842105263
TLT,High,0.9469194312796209,18.839285714285715
TLT,Low,0.9528862478777589,21.044642857142858
USO,High,0.9453924914675768,18.3125
USO,Low,0.9540372670807453,21.571428571428573
UUP,High,0.9378060724779628,16.078740157480315
UUP,Low,0.948019801980198,19.094488188976378
VGK,High,0.953030303030303,21.29032258064516
VGK,Low,0.9629927594529365,26.741935483870968
