Asset,Vol_Regime,Mean,Median,Std,Count,Percent_of_Sample
EEM,High,0.01883221761906716,0.014607510496918032,0.013654399407173935,1942,43.47436758450861
EEM,Low,0.010443499802598092,0.00949425380315731,0.003938162497193977,2525,56.52563241549138
EWJ,High,0.014447938050966941,0.012333921035717147,0.007937580915744247,2189,49.003805686142826
EWJ,Low,0.008278172848957195,0.00822994964595304,0.002420474553521639,2278,50.99619431385718
FXB,High,0.006875152543420732,0.005984602566646375,0.0030160156623668375,2059,46.09357510633535
FXB,Low,0.004459744062119168,0.004337938396363277,0.0013207849946152977,2408,53.90642489366465
FXE,High,0.006607193252383739,0.006167610516686286,0.002255362056721921,2005,44.88471009626147
FXE,Low,0.004304669380458104,0.004136644233807997,0.0013815132431627295,2462,55.11528990373853
FXY,High,0.0074099247001188535,0.00712022338221097,0.0027299171746534086,2030,45.44436982314753
FXY,Low,0.0045857660397164825,0.004447984682533827,0.0014656068572592139,2437,54.555630176852475
GLD,High,0.012720692804536058,0.011416294376911724,0.005096597138008733,2120,47.459144839937316
GLD,Low,0.0075578686057268555,0.007398169611256135,0.002003555109092975,2347,52.540855160062684
IEF,High,0.00499561005789857,0.004632736520552842,0.0017793813538006817,2074,46.42937094246698
IEF,Low,0.003322276020045251,0.0031608685783836737,0.0010161157023742852,2393,53.57062905753301
IWM,High,0.018086644379432356,0.015258329320500238,0.009603227037682393,2024,45.310051488694874
IWM,Low,0.010062324730214926,0.00967874304433003,0.003198068251198876,2443,54.68994851130513
QQQ,High,0.016158012386472912,0.013954548757461225,0.008099873363033723,2194,49.115737631520034
QQQ,Low,0.008562413556601926,0.008025373746178201,0.0029582123068223917,2273,50.88426236847996
SLV,High,0.02223485813192617,0.020032165943147086,0.009749231878457243,2168,48.533691515558544
SLV,Low,0.013461977423560067,0.013440246667634381,0.004015203936191365,2299,51.466308484441456
SPY,High,0.01424232351167315,0.0118547486713624,0.00900378629920924,2058,46.0711887172599
SPY,Low,0.006866859208840898,0.006308495777895097,0.002739629446486768,2409,53.9288112827401
TLT,High,0.011029676423072515,0.010497294598759152,0.004019768759498808,2110,47.23528094918289
TLT,Low,0.007354512466301261,0.007063303926795714,0.0018065312747615524,2357,52.7647190508171
USO,High,0.02704735583774434,0.02390483687305936,0.013474398145750589,2051,45.91448399373181
USO,Low,0.015319129479281645,0.014686804833927989,0.004771648674121322,2416,54.085516006268186
UUP,High,0.005829386828017561,0.005457120103280674,0.002117032729332888,2042,45.713006492052834
UUP,Low,0.003787024999785116,0.003584494326742487,0.0011126012630805777,2425,54.286993507947166
VGK,High,0.01681886918484214,0.012802697645101795,0.010518928645404971,1980,44.32505036937542
VGK,Low,0.00917380802349929,0.0081271389457031,0.003741053163514265,2487,55.67494963062458
