Asset,Mean_Annualised,p_value,p_adj,score,weight
EEM,0.29358944620151195,0.011114720009497356,0.011114720009497356,26.414470715469605,0.4
QQQ,0.22227002785073718,0.01751238842399129,0.01751238842399129,12.692159542683276,0.4
VGK,0.1653014113471017,0.11025906147555459,0.11025906147555459,1.4992093088308256,0.11495531796172047
EWJ,0.11862673184688285,0.16997086874894074,0.16997086874894074,0.6979239014310336,0.05351491851705296
SPY,0.07414416542567297,0.35525695433473803,0.35525695433473803,0.20870573966529932,0.01600299205877452
IWM,0.059704636029014345,0.5812415405329563,0.5812415405329563,0.10271914834970249,0.00787622668145375
GLD,0.046589658886387865,0.5439081759876456,0.5439081759876456,0.08565721374161897,0.006567963648159279
UUP,0.011012456186128821,0.7799926970028144,0.7799926970028144,0.014118665762442499,0.0010825811328389896
FXB,-0.013830242344669624,0.762627121275187,0.762627121275187,0.0,0.0
FXE,-0.0233753267408146,0.598672140428206,0.598672140428206,0.0,0.0
FXY,-0.038563131464779896,0.3802637992979043,0.3802637992979043,0.0,0.0
IEF,-0.0017465602219276868,0.957756068482814,0.957756068482814,0.0,0.0
SLV,-0.1223538183875895,0.4114900632992008,0.4114900632992008,0.0,0.0
TLT,-0.06776950032533127,0.3644907015026333,0.3644907015026333,0.0,0.0
USO,-0.2373508574688751,0.21689985583134774,0.21689985583134774,0.0,0.0
